ID                                    0xd08f
Delivery_person_ID             BHPRES20DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                23.235123
Restaurant_longitude               77.398886
Delivery_location_latitude         23.255123
Delivery_location_longitude        77.418886
Order_Date                        17-02-2022
Time_Orderd                             9:40
Time_Order_picked                       9:50
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                 NaN
City                           Metropolitian
Time_taken (min)                   12.000000
Name: 11258, dtype: object
