ID                                     0xcdf5
Delivery_person_ID             LUDHRES16DEL03
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 30.895817
Restaurant_longitude                75.813112
Delivery_location_latitude          30.985817
Delivery_location_longitude         75.903112
Order_Date                         16-02-2022
Time_Orderd                             21:50
Time_Order_picked                       21:55
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  3.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    46.000000
Name: 36224, dtype: object
