ID                                       0xd5d7
Delivery_person_ID               AURGRES15DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.878028
Restaurant_longitude                  75.317475
Delivery_location_latitude            19.908028
Delivery_location_longitude           75.347475
Order_Date                           15-02-2022
Time_Orderd                               21:55
Time_Order_picked                         21:60
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 21845, dtype: object
