ID                                    0xc7e0
Delivery_person_ID             ALHRES05DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.457687
Restaurant_longitude               81.835585
Delivery_location_latitude         25.527687
Delivery_location_longitude        81.905585
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:35
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 8457, dtype: object
