ID                                    0xc8a4
Delivery_person_ID             ALHRES07DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                25.449659
Restaurant_longitude               81.839744
Delivery_location_latitude         25.499659
Delivery_location_longitude        81.889744
Order_Date                        17-02-2022
Time_Orderd                            20:15
Time_Order_picked                      20:20
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 20500, dtype: object
