ID                                    0x4dae
Delivery_person_ID             MUMRES15DEL02
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                19.176269
Restaurant_longitude               72.836721
Delivery_location_latitude         19.256269
Delivery_location_longitude        72.916721
Order_Date                        23-03-2022
Time_Orderd                            23:15
Time_Order_picked                      23:20
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 32220, dtype: object
