ID                                      0xefb
Delivery_person_ID             INDORES15DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              2.900000
Restaurant_latitude                 22.760072
Restaurant_longitude                75.892574
Delivery_location_latitude          22.830072
Delivery_location_longitude         75.962574
Order_Date                         14-03-2022
Time_Orderd                             23:35
Time_Order_picked                       23:50
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 35340, dtype: object
