ID                                     0x605c
Delivery_person_ID             VADRES010DEL02
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 22.310329
Restaurant_longitude                73.169083
Delivery_location_latitude          22.330329
Delivery_location_longitude         73.189083
Order_Date                         19-03-2022
Time_Orderd                              9:40
Time_Order_picked                        9:50
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    15.000000
Name: 14885, dtype: object
