ID                                    0x33ab
Delivery_person_ID             MUMRES18DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                19.109300
Restaurant_longitude               72.825451
Delivery_location_latitude         19.129300
Delivery_location_longitude        72.845451
Order_Date                        03-04-2022
Time_Orderd                            11:30
Time_Order_picked                      11:45
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 25358, dtype: object
