ID                                       0x386c
Delivery_person_ID              COIMBRES06DEL03
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   11.021278
Restaurant_longitude                  76.995017
Delivery_location_latitude            11.081278
Delivery_location_longitude           77.055017
Order_Date                           28-03-2022
Time_Orderd                               20:25
Time_Order_picked                         20:40
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      30.000000
Name: 34824, dtype: object
