ID                                     0x5f07
Delivery_person_ID             CHENRES14DEL01
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.026279
Restaurant_longitude                80.174568
Delivery_location_latitude          13.066279
Delivery_location_longitude         80.214568
Order_Date                         24-03-2022
Time_Orderd                             12:20
Time_Order_picked                       12:30
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 2760, dtype: object
