ID                                       0xda07
Delivery_person_ID               AGRRES010DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   27.163303
Restaurant_longitude                  78.057044
Delivery_location_latitude            27.193303
Delivery_location_longitude           78.087044
Order_Date                           13-02-2022
Time_Orderd                               23:15
Time_Order_picked                         23:30
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 14691, dtype: object
