ID                                    0xc3d3
Delivery_person_ID             KNPRES02DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.511617
Delivery_location_longitude        80.353564
Order_Date                        17-02-2022
Time_Orderd                            13:35
Time_Order_picked                      13:50
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 41139, dtype: object
