ID                                       0xaad
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                        NaN
Delivery_person_Ratings                    NaN
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.116117
Delivery_location_longitude          77.034652
Order_Date                          18-03-2022
Time_Orderd                                NaN
Time_Order_picked                        20:20
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 10791, dtype: object
