ID                                     0x9cb8
Delivery_person_ID             INDORES07DEL01
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.722634
Restaurant_longitude                75.886959
Delivery_location_latitude          22.732634
Delivery_location_longitude         75.896959
Order_Date                         17-03-2022
Time_Orderd                              9:10
Time_Order_picked                        9:15
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    17.000000
Name: 2512, dtype: object
