ID                                       0x2e4f
Delivery_person_ID             RANCHIRES15DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.499746
Delivery_location_longitude           85.469820
Order_Date                           16-03-2022
Time_Orderd                               21:15
Time_Order_picked                         21:20
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      44.000000
Name: 5096, dtype: object
