ID                                     0x1c9c
Delivery_person_ID             PUNERES16DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 18.536718
Restaurant_longitude                73.830327
Delivery_location_latitude          18.576718
Delivery_location_longitude         73.870328
Order_Date                         03-03-2022
Time_Orderd                             15:55
Time_Order_picked                       15:60
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 7884, dtype: object
