ID                                     0x6aa
Delivery_person_ID             HYDRES12DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                17.429585
Restaurant_longitude               78.392621
Delivery_location_latitude         17.439585
Delivery_location_longitude        78.402621
Order_Date                        19-03-2022
Time_Orderd                              NaN
Time_Order_picked                       8:30
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 37074, dtype: object
