ID                                       0xcffd
Delivery_person_ID                KOCRES13DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                    9.991703
Restaurant_longitude                  76.293136
Delivery_location_latitude            10.061703
Delivery_location_longitude           76.363136
Order_Date                           12-02-2022
Time_Orderd                               17:40
Time_Order_picked                         17:45
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 32508, dtype: object
