ID                                     0xc6ee
Delivery_person_ID             AURGRES13DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          19.990256
Delivery_location_longitude         75.433503
Order_Date                         16-02-2022
Time_Orderd                             21:15
Time_Order_picked                       21:30
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  3.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    54.000000
Name: 5030, dtype: object
