ID                                     0xa45c
Delivery_person_ID             PUNERES11DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 18.533811
Restaurant_longitude                73.899315
Delivery_location_latitude          18.643811
Delivery_location_longitude         74.009315
Order_Date                         25-03-2022
Time_Orderd                             21:50
Time_Order_picked                       22:05
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    41.000000
Name: 6374, dtype: object
