ID                                       0xb94a
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       39.00
Delivery_person_Ratings                    3.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           10-03-2022
Time_Orderd                               22:10
Time_Order_picked                         22:20
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          36.00
Name: 4780, dtype: object
