ID                                      0x14bb
Delivery_person_ID             COIMBRES09DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.018638
Delivery_location_longitude          76.994311
Order_Date                          03-03-2022
Time_Orderd                               8:35
Time_Order_picked                         8:50
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     25.000000
Name: 24651, dtype: object
