ID                                        0x50b
Delivery_person_ID                MUMRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -19.223840
Restaurant_longitude                 -72.841347
Delivery_location_latitude            19.263840
Delivery_location_longitude           72.881347
Order_Date                           05-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         14:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      34.000000
Name: 19415, dtype: object
