ID                                       0xb11c
Delivery_person_ID               CHENRES11DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   13.064181
Restaurant_longitude                  80.236442
Delivery_location_latitude            13.074181
Delivery_location_longitude           80.246442
Order_Date                           11-03-2022
Time_Orderd                               10:30
Time_Order_picked                         10:45
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 37387, dtype: object
