ID                                    0x1ef4
Delivery_person_ID             MUMRES16DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.120083
Restaurant_longitude               72.907385
Delivery_location_latitude         19.160083
Delivery_location_longitude        72.947385
Order_Date                        15-03-2022
Time_Orderd                            15:50
Time_Order_picked                      16:05
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 43096, dtype: object
