ID                                    0xd44c
Delivery_person_ID             KNPRES13DEL03
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                26.481547
Restaurant_longitude               80.299775
Delivery_location_latitude         26.621547
Delivery_location_longitude        80.439775
Order_Date                        18-02-2022
Time_Orderd                            17:30
Time_Order_picked                      17:40
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 8054, dtype: object
