ID                                      0x5d7f
Delivery_person_ID             COIMBRES08DEL01
Delivery_person_Age                  31.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.071852
Delivery_location_longitude          77.046268
Order_Date                          08-03-2022
Time_Orderd                              21:35
Time_Order_picked                        21:50
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     39.000000
Name: 3303, dtype: object
