ID                                    0xc38d
Delivery_person_ID             ALHRES01DEL03
Delivery_person_Age                31.000000
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.454648
Restaurant_longitude               81.834502
Delivery_location_latitude         25.514648
Delivery_location_longitude        81.894502
Order_Date                        11-02-2022
Time_Orderd                            21:55
Time_Order_picked                      22:05
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 3015, dtype: object
