ID                                    0x8eab
Delivery_person_ID             MYSRES05DEL03
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                12.323978
Restaurant_longitude               76.627961
Delivery_location_latitude         12.383978
Delivery_location_longitude        76.687961
Order_Date                        07-03-2022
Time_Orderd                            23:10
Time_Order_picked                      23:20
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   22.000000
Name: 30784, dtype: object
