ID                                    0x1ebb
Delivery_person_ID             MUMRES04DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                19.254567
Restaurant_longitude               72.848923
Delivery_location_latitude         19.334567
Delivery_location_longitude        72.928923
Order_Date                        04-04-2022
Time_Orderd                              NaN
Time_Order_picked                      19:60
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   42.000000
Name: 14476, dtype: object
