ID                                      0x4aae
Delivery_person_ID             COIMBRES14DEL01
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.113681
Delivery_location_longitude          77.085525
Order_Date                          12-03-2022
Time_Orderd                              22:35
Time_Order_picked                        22:50
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     44.000000
Name: 29620, dtype: object
