ID                                       0xd6f9
Delivery_person_ID               LUDHRES12DEL01
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   30.893244
Restaurant_longitude                  75.821817
Delivery_location_latitude            30.933244
Delivery_location_longitude           75.861817
Order_Date                           13-02-2022
Time_Orderd                               13:35
Time_Order_picked                         13:40
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 6395, dtype: object
