ID                                    0xc0d6
Delivery_person_ID             ALHRES18DEL03
Delivery_person_Age                33.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude               -25.450317
Restaurant_longitude               81.831681
Delivery_location_latitude         25.510317
Delivery_location_longitude        81.891681
Order_Date                        13-02-2022
Time_Orderd                            21:25
Time_Order_picked                      21:40
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   29.000000
Name: 16331, dtype: object
