ID                                       0xcfc2
Delivery_person_ID                ALHRES15DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   25.449872
Restaurant_longitude                  81.836167
Delivery_location_latitude            25.579872
Delivery_location_longitude           81.966167
Order_Date                           16-02-2022
Time_Orderd                               19:15
Time_Order_picked                         19:20
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 25311, dtype: object
