ID                                       0xba49
Delivery_person_ID                HYDRES04DEL03
Delivery_person_Age                   25.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   17.411028
Restaurant_longitude                  78.329645
Delivery_location_latitude            17.501028
Delivery_location_longitude           78.419645
Order_Date                           04-03-2022
Time_Orderd                               19:60
Time_Order_picked                         20:15
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                    NaN
City                                        NaN
Time_taken (min)                      12.000000
Name: 25053, dtype: object
