ID                                       0x8d13
Delivery_person_ID             RANCHIRES15DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.379746
Delivery_location_longitude           85.349820
Order_Date                           01-03-2022
Time_Orderd                                8:60
Time_Order_picked                          9:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 17089, dtype: object
