ID                                       0xd7c4
Delivery_person_ID                GOARES20DEL01
Delivery_person_Age                       25.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           17-02-2022
Time_Orderd                                9:10
Time_Order_picked                          9:15
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          22.00
Name: 39538, dtype: object
