ID                                    0xcd03
Delivery_person_ID             BHPRES11DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                23.233219
Restaurant_longitude               77.433571
Delivery_location_latitude         23.273219
Delivery_location_longitude        77.473571
Order_Date                        11-02-2022
Time_Orderd                            16:35
Time_Order_picked                      16:45
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 39095, dtype: object
