ID                                      0x3f8c
Delivery_person_ID             COIMBRES01DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               3.400000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.096298
Delivery_location_longitude          77.052076
Order_Date                          20-03-2022
Time_Orderd                              23:20
Time_Order_picked                        23:25
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 15231, dtype: object
