ID                                       0x20fd
Delivery_person_ID             RANCHIRES19DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.423017
Delivery_location_longitude           85.407200
Order_Date                           04-04-2022
Time_Orderd                               22:55
Time_Order_picked                         22:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 22052, dtype: object
