ID                                      0x705a
Delivery_person_ID             INDORES010DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.800040
Delivery_location_longitude          75.952847
Order_Date                          05-04-2022
Time_Orderd                              22:20
Time_Order_picked                        22:35
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     13.000000
Name: 19650, dtype: object
