ID                                    0xc7f9
Delivery_person_ID             KNPRES14DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.463504
Restaurant_longitude               80.372929
Delivery_location_latitude         26.573504
Delivery_location_longitude        80.482929
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:25
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 5326, dtype: object
