ID                                     0xba81
Delivery_person_ID             BANGRES01DEL01
Delivery_person_Age                 22.000000
Delivery_person_Ratings              2.600000
Restaurant_latitude                 12.933284
Restaurant_longitude                77.615428
Delivery_location_latitude          13.003284
Delivery_location_longitude         77.685428
Order_Date                         18-03-2022
Time_Orderd                             22:60
Time_Order_picked                       23:15
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    44.000000
Name: 33171, dtype: object
