ID                                       0x51fb
Delivery_person_ID             RANCHIRES14DEL03
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.20
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           23-03-2022
Time_Orderd                               17:60
Time_Order_picked                         18:15
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          36.00
Name: 27448, dtype: object
