ID                                       0xcb88
Delivery_person_ID                GOARES01DEL01
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   15.576683
Restaurant_longitude                  73.755750
Delivery_location_latitude            15.586683
Delivery_location_longitude           73.765750
Order_Date                           13-02-2022
Time_Orderd                                9:35
Time_Order_picked                          9:50
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 8630, dtype: object
