ID                                      0x112e
Delivery_person_ID             COIMBRES14DEL01
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.013681
Delivery_location_longitude          76.985525
Order_Date                          03-03-2022
Time_Orderd                               9:20
Time_Order_picked                         9:30
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     16.000000
Name: 16477, dtype: object
