ID                                    0xc38b
Delivery_person_ID             BHPRES16DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings                  NaN
Restaurant_latitude                23.264015
Restaurant_longitude               77.408236
Delivery_location_latitude         23.334015
Delivery_location_longitude        77.478236
Order_Date                        14-02-2022
Time_Orderd                            23:35
Time_Order_picked                      23:50
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 1617, dtype: object
