ID                                      0x73fd
Delivery_person_ID             COIMBRES17DEL02
Delivery_person_Age                  25.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.076117
Delivery_location_longitude          76.994652
Order_Date                          05-04-2022
Time_Orderd                              23:15
Time_Order_picked                        23:30
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     16.000000
Name: 45566, dtype: object
