ID                                      0x280b
Delivery_person_ID             COIMBRES16DEL01
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.050375
Delivery_location_longitude          76.992950
Order_Date                          01-03-2022
Time_Orderd                              15:55
Time_Order_picked                        15:60
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 18635, dtype: object
