ID                                    0xc6c5
Delivery_person_ID             KOCRES11DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                10.006881
Restaurant_longitude               76.345397
Delivery_location_latitude         10.026881
Delivery_location_longitude        76.365397
Order_Date                        17-02-2022
Time_Orderd                            10:15
Time_Order_picked                      10:20
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 17173, dtype: object
