ID                                    0xca0c
Delivery_person_ID             GOARES14DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                15.157944
Restaurant_longitude               73.950889
Delivery_location_latitude         15.167944
Delivery_location_longitude        73.960889
Order_Date                        11-02-2022
Time_Orderd                            10:10
Time_Order_picked                      10:20
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 23565, dtype: object
