ID                                    0xc5b4
Delivery_person_ID             ALHRES07DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                25.449659
Restaurant_longitude               81.839744
Delivery_location_latitude         25.559659
Delivery_location_longitude        81.949744
Order_Date                        18-02-2022
Time_Orderd                            21:25
Time_Order_picked                      21:40
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 4998, dtype: object
