ID                                       0x8dde
Delivery_person_ID                JAPRES06DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.911927
Restaurant_longitude                  75.797282
Delivery_location_latitude            26.951927
Delivery_location_longitude           75.837282
Order_Date                           03-04-2022
Time_Orderd                               16:20
Time_Order_picked                         16:25
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 33129, dtype: object
