ID                                    0xe22d
Delivery_person_ID             KOLRES02DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                22.514585
Restaurant_longitude               88.393310
Delivery_location_latitude         22.584585
Delivery_location_longitude        88.463310
Order_Date                        12-02-2022
Time_Orderd                            18:55
Time_Order_picked                      18:60
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 15520, dtype: object
