ID                                        0xb498
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    34.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.464422
Delivery_location_longitude            85.442900
Order_Date                            23-03-2022
Time_Orderd                                21:30
Time_Order_picked                          21:35
Weather conditions                           Fog
Road_traffic_density                         Jam
Vehicle_condition                              0
Type_of_order                             Buffet
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       54.000000
Name: 42156, dtype: object
