ID                                       0x524d
Delivery_person_ID                SURRES20DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.152760
Restaurant_longitude                  72.778059
Delivery_location_latitude            21.192760
Delivery_location_longitude           72.818059
Order_Date                           13-03-2022
Time_Orderd                               12:60
Time_Order_picked                         13:05
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      27.000000
Name: 26108, dtype: object
