ID                                       0xaf21
Delivery_person_ID             RANCHIRES20DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.469250
Delivery_location_longitude           85.460464
Order_Date                           08-03-2022
Time_Orderd                               19:40
Time_Order_picked                         19:55
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 40640, dtype: object
