ID                                     0xc5b8
Delivery_person_ID             AURGRES12DEL01
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 19.879631
Restaurant_longitude                75.323403
Delivery_location_latitude          19.919631
Delivery_location_longitude         75.363403
Order_Date                         13-02-2022
Time_Orderd                             14:45
Time_Order_picked                       14:50
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 35157, dtype: object
