ID                                    0x16bd
Delivery_person_ID             MUMRES17DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                19.121999
Restaurant_longitude               72.908493
Delivery_location_latitude         19.191999
Delivery_location_longitude        72.978493
Order_Date                        25-03-2022
Time_Orderd                              NaN
Time_Order_picked                      20:10
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 18819, dtype: object
