ID                                    0xdb30
Delivery_person_ID             KNPRES09DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.473698
Restaurant_longitude               80.352677
Delivery_location_latitude         26.513698
Delivery_location_longitude        80.392677
Order_Date                        17-02-2022
Time_Orderd                            16:15
Time_Order_picked                      16:30
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   28.000000
Name: 32933, dtype: object
