ID                                        0x6e9
Delivery_person_ID             RANCHIRES11DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   23.359194
Restaurant_longitude                  85.325447
Delivery_location_latitude            23.379194
Delivery_location_longitude           85.345447
Order_Date                           21-03-2022
Time_Orderd                                 NaN
Time_Order_picked                          9:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 45575, dtype: object
