ID                                       0x3b6b
Delivery_person_ID             RANCHIRES15DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.389746
Delivery_location_longitude           85.359820
Order_Date                           19-03-2022
Time_Orderd                               10:45
Time_Order_picked                         10:55
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 40634, dtype: object
