ID                                    0xbe2a
Delivery_person_ID             HYDRES06DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.455894
Restaurant_longitude               78.375467
Delivery_location_latitude         17.585894
Delivery_location_longitude        78.505467
Order_Date                        02-04-2022
Time_Orderd                            21:60
Time_Order_picked                      22:10
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   35.000000
Name: 37684, dtype: object
